姓名,年龄,出生年月,求职意向,电话,邮箱,教育经历,最高学位,工作经历,能力证书和技能等级认证,政治面貌,个人技能,荣誉奖励,身高,体重,籍贯,所在地,工作年限
胡泰,29,1995年9月,设计市场专员,13500135000,service@500d.me33岁,"[{'学习时间': '2009.09-2013.07', '院校名称': '中山大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '本科', '授予院校': '中山大学'}","[{'公司名称': '卓望信息科技有限公司', '职位': '运营主管', '工作时间': '2014.8-2016.8', '是否为实习经历': False}, {'公司名称': '广州灵心沙文化活动有限公司', '职位': '策划部实习生', '工作时间': '2012.3-2013.7', '是否为实习经历': True}, {'公司名称': '华润置地（广州）', '职位': '市场推广专员', '工作时间': '2013.8-2014.8', '是否为实习经历': False}, {'公司名称': '迈腾广告有限公司', '职位': '运营推广主管', '工作时间': '2016.8-2023.4', '是否为实习经历': False}]","[{'名称': 'CET-6', '获得时间': None}, {'名称': '计算机二级', '获得时间': None}, {'名称': '高级营销员', '获得时间': None}]",中共党员,[],"[{'名称': '国家奖学金', '获得时间': '2009.10'}, {'名称': '三好学生称号', '获得时间': '2010.11'}, {'名称': '华南大学生创意营销大赛一等奖', '获得时间': '2010.12'}, {'名称': '挑战杯创业计划大赛省级铜奖', '获得时间': '2011.4'}]",,,,上海市,10
陈怡盈,34,,设计市场专员,18800135000,service@500d.me,"[{'学习时间': '2008.9-2012.6', '院校名称': '兰州大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '本科', '授予院校': '兰州大学'}","[{'公司名称': '卓望信息科技有限公司', '职位': '市场专员', '工作时间': '2013.08-2023.4', '是否为实习经历': False}, {'公司名称': '荣群文化活动有限公司', '职位': '市场推广员', '工作时间': '2012.08-2013.08', '是否为实习经历': False}]","[{'名称': 'CET-6', '获得时间': None}, {'名称': '国家奖学金', '获得时间': '2009.10'}, {'名称': '计算机二级', '获得时间': None}, {'名称': '三好学生称号', '获得时间': '2010.11'}, {'名称': '高级营销员', '获得时间': None}, {'名称': '大学生创意营销大赛一等奖', '获得时间': '2010.12'}, {'名称': '挑战杯创业计划大赛省级铜奖', '获得时间': '2010.4'}]",,,"[{'名称': 'CET-6', '获得时间': None}, {'名称': '国家奖学金', '获得时间': '2009.10'}, {'名称': '计算机二级', '获得时间': None}, {'名称': '三好学生称号', '获得时间': '2010.11'}, {'名称': '高级营销员', '获得时间': None}, {'名称': '大学生创意营销大赛一等奖', '获得时间': '2010.12'}, {'名称': '挑战杯创业计划大赛省级铜奖', '获得时间': '2010.4'}]",,,广东省广州市,,11
石意,24,,设计市场专员,1888888888,naisen.com,"[{'学习时间': '2018.09-2022.07', '院校名称': '上海交通大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '本科', '授予院校': '上海交通大学'}","[{'公司名称': '上海交通大学职业发展社', '职位': '社长', '工作时间': '2019.03-2022.06', '是否为实习经历': False}, {'公司名称': '雄艺科技集团', '职位': '市场部实习生', '工作时间': '2022.07-2023.04', '是否为实习经历': True}]","[{'名称': 'CET-6', '获得时间': None}, {'名称': '计算机二级', '获得时间': None}, {'名称': '高级营销员', '获得时间': None}]",,,"[{'名称': '国家奖学金', '获得时间': '2019.10'}, {'名称': '三好学生称号', '获得时间': '2020.11'}, {'名称': '华南大学生创意营销大赛一等奖', '获得时间': '2020.12'}, {'名称': '挑战杯创业计划大赛省级铜奖', '获得时间': '2021.04'}]",,,广东省广州市,,4
林盈威,34,,设计市场专业,18500135000,AISEN.COM林盈威,"[{'学习时间': '2012.9-2015.6', '院校名称': '南开大学', '学位': '硕士', '专业': '市场营销'}, {'学习时间': '2008.9-2012.6', '院校名称': '南开大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '硕士', '授予院校': '南开大学'}","[{'公司名称': '南开大学职业发展社', '职位': '社长', '工作时间': '2009.3-2012.6', '是否为实习经历': False}, {'公司名称': '伟天科技集团', '职位': '市场部主管', '工作时间': '2016.3-2022.10', '是否为实习经历': False}]","[{'名称': 'CET-6', '获得时间': None}, {'名称': '计算机二级', '获得时间': None}, {'名称': '高级营销员', '获得时间': None}, {'名称': '国家资格证四级', '获得时间': None}]",,"['Photoshop', 'Word', 'Excel']","[{'名称': '国家奖学金', '获得时间': '2009.10'}, {'名称': '三好学生称号', '获得时间': '2010.11'}, {'名称': '大学生创意营销大赛一等奖', '获得时间': '2010.12'}, {'名称': '挑战杯创业计划大赛省级铜奖', '获得时间': '2011.4'}]",,,广东省广州市,,10
林志嘉,27,1995年,市场专员,1888888888,naisen.com,"[{'学习时间': '2015.9-2018.7', '院校名称': '金华职业技术学院', '学位': '大专', '专业': '市场营销'}]","{'学位': '大专', '授予院校': '金华职业技术学院'}","[{'公司名称': '金华职业技术学院职业发展社', '职位': '社长', '工作时间': '2016.6-2018.6', '是否为实习经历': False}, {'公司名称': '禾光科技集团', '职位': '市场部主管', '工作时间': '2018.6-2022.5', '是否为实习经历': False}]","[{'名称': 'CET-6', '获得时间': 'None'}]",,[],"[{'名称': '国家奖学金', '获得时间': '2016.10'}, {'名称': '三好学生称号', '获得时间': '2016.11'}, {'名称': '学生创意营销大赛一等奖', '获得时间': '2017.12'}, {'名称': '挑战杯创业计划大赛省级铜奖', '获得时间': '2017.4'}]",,,,广东省广州市,6
李秀玲,32,1992.02,产品经理,18888888,Naisen.com,"[{'学习时间': '2011.09-2015.07', '院校名称': '中国传媒大学', '学位': '本科', '专业': '无'}]","{'学位': '本科', '授予院校': '中国传媒大学'}","[{'公司名称': '北京卓越教育', '职位': '产品总监', '工作时间': '2018.9-2022.7', '是否为实习经历': False}, {'公司名称': '锋冠设计信息科技', '职位': '产品经理', '工作时间': '2015.9-2018.9', '是否为实习经历': False}]","[{'名称': '无', '获得时间': '无'}]",无,[],"[{'名称': '国家奖学金', '获得时间': '2011'}, {'名称': '三好学生称号', '获得时间': '2011'}, {'名称': '大学生创意大赛一等奖', '获得时间': '2012'}, {'名称': '创业计划大赛省级铜奖', '获得时间': '2013'}]",,,广东,广州,7
王彦霖,26,,市场专员,1888888888,Naisen.com,"[{'学习时间': '2017.09-2020.07', '院校名称': '陕西工业职业技术学院', '学位': '大专', '专业': '市场营销'}]","{'学位': '大专', '授予院校': '陕西工业职业技术学院'}","[{'公司名称': '诚森信息科技有限公司', '职位': '营运推广主管', '工作时间': '2021.7 -2023.4', '是否为实习经历': False}, {'公司名称': '康飞文化活动有限公司', '职位': '市场专员实习', '工作时间': '2020.07-2021.07', '是否为实习经历': True}]","[{'名称': 'CET-6', '获得时间': None}, {'名称': '计算机二级', '获得时间': None}, {'名称': '高级营销员', '获得时间': None}]",,,,,,广东省广州市,,2
叶惟芷,34,1990/8/12,市场总监,13788886666,service@500d.me,"[{'学习时间': '2015.9-2020.7', '院校名称': '中国传媒大学', '学位': '博士', '专业': '艺术设计'}, {'学习时间': '2012.9-2015.7', '院校名称': '中国传媒大学', '学位': '硕士', '专业': '艺术设计'}, {'学习时间': '2008.9-2012.7', '院校名称': '中国传媒大学', '学位': '本科', '专业': '艺术设计'}]","{'学位': '博士', '授予院校': '中国传媒大学'}","[{'公司名称': '深圳华为科技', '职位': '市场总监', '工作时间': '2022.7-2023.4', '是否为实习经历': False}, {'公司名称': '深圳欧成科技', '职位': '市场经理', '工作时间': '2021.7-2022.7', '是否为实习经历': False}, {'公司名称': '深圳帆纪科技', '职位': '市场经理助理', '工作时间': '2020.7-2021.7', '是否为实习经历': False}]","[{'名称': 'Photoshop', '获得时间': None}, {'名称': 'Illustrator', '获得时间': None}, {'名称': 'CorelDraw', '获得时间': None}, {'名称': 'Axure', '获得时间': None}, {'名称': '普通话', '获得时间': None}, {'名称': '英语', '获得时间': None}, {'名称': '粤语', '获得时间': None}]",,"['社交媒体', '软件技能', 'Word', 'Excel']","[{'名称': '优秀班干', '获得时间': None}, {'名称': '第四届全国大学生广告艺术设计大赛平面作品类三等奖', '获得时间': '2011年'}, {'名称': '微博评选大赛“十大美友”奖', '获得时间': '2022.7-2023.4'}]",,,中国.广州,深圳华为科技,3
郑星钰,26,1998/10/12,市场专员,13500135000,service@500d.me郑星钰,"[{'学习时间': '2016.9-2019.7', '院校名称': '新疆农业职业技术学院', '学位': '大专', '专业': '国际贸易'}]","{'学位': '大专', '授予院校': '新疆农业职业技术学院'}","[{'公司名称': '圣荣科技集团', '职位': '市场部推广专员', '工作时间': '2019.7-2022.5', '是否为实习经历': False}]",,中共党员,"['Photoshop', '普通话', 'Word', '英语', 'Illustrator', '粤语', 'CoreIDRAW', 'axure']","[{'名称': '优秀班干', '获得时间': '大学期间'}, {'名称': '第四届全国大学生广告艺术设计大赛江西赛区平面作品类三等奖', '获得时间': '2018年'}, {'名称': '十大美友', '获得时间': '校园文化节“微观江大，聚焦精彩”微博评选大赛'}]",,,,新疆乌鲁木齐,3
邱贞伟,24,2000/8/12,市场专员,13500135000,service@500d.me邱贞伟,"[{'学习时间': '2018.9-2021.7', '院校名称': '长沙民政职业技术学院', '学位': '大专', '专业': '市场营销'}]","{'学位': '大专', '授予院校': '长沙民政职业技术学院'}","[{'公司名称': '深圳同琛科技', '职位': '市场经理助理', '工作时间': '2022.8--2023.4', '是否为实习经历': False}, {'公司名称': '洋环南方基地', '职位': '和彩云产品策划', '工作时间': '2021.8-2022.8', '是否为实习经历': False}, {'公司名称': '唯星信息科技', '职位': 'UI设计', '工作时间': '2019.8-2021.8', '是否为实习经历': False}, {'公司名称': '深圳雨光科技', '职位': '市场实习', '工作时间': '2018.8-2019.8', '是否为实习经历': True}]","[{'名称': 'Photoshop', '获得时间': '2021.8'}, {'名称': 'Word', '获得时间': '2021.8'}, {'名称': 'Illustrator', '获得时间': '2021.8'}, {'名称': 'Axure', '获得时间': '2021.8'}]",,"['熟悉网络推广', '社会化媒体运营', '市场营销策划', '广告摄影', '三维动画制作', 'CI设计与制作', '多媒体影视制作', '平面广告设计', '计算机文化基础', '广告传播学']","[{'名称': '优秀班干', '获得时间': '大学期间'}, {'名称': '第四届全国大学生广告艺术设计大赛平面作品类三等奖', '获得时间': '2011年'}, {'名称': '校园文化节“微观江大，聚焦精彩”微博评选大赛十大美友', '获得时间': 'None'}]",,,中国.湖南,,4
姚扬云,26,1998年8月12日,市场专员,18800000000,yaoyangyun@qq.com1989,"[{'学习时间': '2014.9-2017.7', '院校名称': '中国传媒大学', '学位': '博士', '专业': '艺术设计'}, {'学习时间': '2011.9-2014.7', '院校名称': '中山大学', '学位': '硕士', '专业': '三维动画设计'}, {'学习时间': '2007.9-2011.7', '院校名称': '中山大学', '学位': '本科', '专业': '三维动画设计'}]","{'学位': '博士', '授予院校': '中国传媒大学'}","[{'公司名称': '深圳华龙科技', '职位': '市场经理', '工作时间': '2021.7-2022.8', '是否为实习经历': False}, {'公司名称': '中国顺华科技', '职位': '产品策划', '工作时间': '2020.7-2021.7', '是否为实习经历': False}, {'公司名称': '广州旭景信息科技', '职位': 'UI设计', '工作时间': '2017.7-2020.7', '是否为实习经历': False}]","[{'名称': 'Photoshop', '获得时间': None}, {'名称': 'Illustrator', '获得时间': None}, {'名称': 'CelDRAW', '获得时间': None}]",,,"[{'名称': '优秀班干', '获得时间': None}, {'名称': '第四届全国大学生广告艺术设计大赛平面广告摄影三等奖', '获得时间': '2011年'}, {'名称': '微观江大，聚焦精彩”微博评选大赛“十大美友”奖', '获得时间': None}]",,,中国.上海,,6
涂武盛,26,1998/12/12,市场专员,18000000000,hr@naisen.com涂武盛,"[{'学习时间': '2016.9-2019.7', '院校名称': '滨州职业学院', '学位': '无', '专业': '市场营销'}]","{'学位': '无', '授予院校': ''}","[{'公司名称': '蓝天集团', '职位': '运营', '工作时间': '2020.8-2022.7', '是否为实习经历': False}, {'公司名称': '天光科技集团', '职位': '市场部实习生', '工作时间': '2019.7-2020.7', '是否为实习经历': True}]",[],中共党员,[],[],,,,,2
王雅顺,28,1996/9/9,行政专员,1888888000,"service@500d,me","[{'学习时间': '2014.9-2017.7', '院校名称': '江苏建筑职业技术学院', '学位': '艺术设计（大专）'}, {'学习时间': '2017.7-2018.7', '院校名称': '广州奈森信息科技', '学位': 'UI设计'}, {'学习时间': '2018.7-2021.7', '院校名称': '中国移动南方基地', '学位': '和彩云产品策划'}, {'学习时间': '2021.7-2023.3', '院校名称': '深圳华为科技', '学位': '市场经理助理'}]","{'学位': '艺术设计（大专）', '授予院校': '江苏建筑职业技术学院'}","[{'公司名称': '深圳华为科技', '职位': '市场经理助理', '工作时间': '2021.7-2023.3', '是否为实习经历': False}, {'公司名称': '中国移动南方基地', '职位': '和彩云产品策划', '工作时间': '2018.7-2021.7', '是否为实习经历': False}, {'公司名称': '广州奈森信息科技', '职位': 'UI设计', '工作时间': '2017.7-2018.7', '是否为实习经历': False}]","[{'名称': '英语四六级', '获得时间': None}]",中共党员,"['熟练操作photoshop、Illustrator、CelDRAW等图形，图像设计软件', '熟悉网络推广，尤其是社会化媒体方面', '良好的英语听、说、读、写、译能力', '熟练操作计算机办公软件']","[{'名称': '优秀班干', '获得时间': None}, {'名称': '第四届全国大学生广艺术设计大赛平面作品类三等奖', '获得时间': '2016年'}, {'名称': '十大美友', '获得时间': None}]",,,,广东广州,6
唐欣仪,34,1990/8/12,市场专员,18888886666,Naisen.com,"[{'学习时间': '2008.9-2011.7', '院校名称': '河北工业职业技术学院', '学位': '大专', '专业': '语言三维动画设计'}]","{'学位': '大专', '授予院校': '河北工业职业技术学院'}","[{'公司名称': '深圳富唐科技', '职位': '市场经理助理', '工作时间': '2018.9-2022.7', '是否为实习经历': False}, {'公司名称': '深圳启才科技', '职位': '市场经理助理', '工作时间': '2013.9-2018.9', '是否为实习经历': False}, {'公司名称': '深圳荣海科技', '职位': '市场经理助理', '工作时间': '2011.9-2013.9', '是否为实习经历': False}]","[{'名称': '英语四六级', '获得时间': None}]",,"['观察力', '分析力', '沟通能力', '团队合作', '网络推广', '社交媒体', 'Photoshop', 'Word', 'Illustrator', 'Axure']","[{'名称': '优秀班干', '获得时间': None}, {'名称': '第四届全国大学生广告艺术设计大赛平面作品类三等奖', '获得时间': '2011年'}, {'名称': '校园文化节“微观江大，聚焦精彩”微博评选大赛十大美友奖', '获得时间': None}]",,,中国.上海,,11
陈政圣,32,1992.04.06,医护,18000008888,service@500d.me,"[{'学习时间': '2010-2013', '院校名称': '北京医学高等专科学校', '学位': '无', '专业': '临床医学'}]","{'学位': '无', '授予院校': '北京医学高等专科学校'}","[{'公司名称': '江西省人民医院', '职位': '修心脑血科医生', '工作时间': '2019.1-2023.4', '是否为实习经历': False}, {'公司名称': '南京大学附属第三医院', '职位': '门诊急诊科', '工作时间': '2015.1-2019.1', '是否为实习经历': False}, {'公司名称': '中山大学附属第三医院', '职位': '门诊急诊科', '工作时间': '2014.1-2015.1', '是否为实习经历': False}]","[{'名称': '英语四六级', '获得时间': '2012年度'}]",无,"['学过计算机应用基础、数据库原理、计算机网络与应用、VB软件工程', '运动']","[{'名称': '2012年度第十七期入党积极分子培训合格', '获得时间': '2012年度'}, {'名称': '2012年度一次性通过全国计算机二级考试', '获得时间': '2012年度'}, {'名称': '2011年度被南华医学院分团委健康365服务队评为“优秀队员”', '获得时间': '2011年度'}]",,,,上海市,10
李淑淑,28,1996.05,,188888000,service@500d.me,"[{'学习时间': '2014.07-2017.06', '院校名称': '福建船政交通职业学院', '学位': '大专', '专业': '市场营销'}]","{'学位': '大专', '授予院校': '福建船政交通职业学院'}","[{'公司名称': '广州京美信息科技有限公司', '职位': '市场营销（实习生）', '工作时间': '2017.07-2018.06', '是否为实习经历': True}, {'公司名称': '广州勤裕信息科技有限公司', '职位': '软件工程师', '工作时间': '2018.09-2023.03', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '大学英语四/六级（CET-4/6）', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}]",中共党员,,,177,,,上海市,5
黄莉秋,24,,,,,"[{'学习时间': '2015 - 2018', '院校名称': '南京新港职业学校', '学位': '中专', '专业': '平面设计'}]","{'学位': '中专', '授予院校': '南京新港职业学校'}","[{'公司名称': '奈森设计顾问有限公司', '职位': '平面设计师', '工作时间': '2018.7 - 2019.7', '是否为实习经历': False}, {'公司名称': '奈森设计顾问有限公司', '职位': '平面设计师', '工作时间': '2019.7 - 2021.7', '是否为实习经历': False}, {'公司名称': '奈森设计顾问有限公司', '职位': '平面设计师', '工作时间': '2021.7 - 2023.1', '是否为实习经历': False}]","[{'名称': 'Adobe中国认证设计师', '获得时间': None}, {'名称': 'Adobe认证产品专家', '获得时间': None}, {'名称': '英语四六级证书', '获得时间': None}]",,"['MS Office', 'Photoshop', 'Illustrator', '英语', '日语', '粤语']",,,,上海,,5
林雅慧,25,,市场拓展/策划,13500135000,Service@500d.me,"[{'学习时间': '2015.9-2018.7', '院校名称': '广州市轻工职业学校', '学位': '中专', '专业': '市场营销'}]","{'学位': '中专', '授予院校': '广州市轻工职业学校'}","[{'公司名称': '龙友设计科技有限公司', '职位': '运营推广', '工作时间': '2021年10月-2023年3月', '是否为实习经历': False}, {'公司名称': '锋林设计科技有限公司', '职位': '运营推广', '工作时间': '2019年10月-2021年10月', '是否为实习经历': False}, {'公司名称': '鸿力设计科技有限公司', '职位': '运营推广', '工作时间': '2018年10月-2019年10月', '是否为实习经历': False}]","[{'名称': 'ADOBE PHOTOSHOP', '获得时间': None}, {'名称': 'MICROSOFT WORD', '获得时间': None}, {'名称': 'MICROSOFT POWERPOINT', '获得时间': None}]",,"['市场营销', '社会化媒体推广', '分析和吸取经验', '团队合作']","[{'名称': '国家奖学金', '获得时间': '2017.10'}, {'名称': '三好学生称号', '获得时间': '2017.11'}, {'名称': '创意营销大赛一等奖', '获得时间': '2016.12'}, {'名称': '挑战杯创业计划大赛铜奖', '获得时间': '2016.4'}]",,,,,5
陈育福,23,2001年10月19日,电子商务运营专员,+86 13800111000,office@microsoft.com,"[{'学习时间': '2016.09-2019.06', '院校名称': '北京市对外贸易学校', '学位': '中专', '专业': '市场营销'}]","{'学位': '中专', '授予院校': '北京市对外贸易学校'}","[{'公司名称': '杭州法哲贸易有限公司', '职位': '运营', '工作时间': '07.2021--2023.4', '是否为实习经历': False}, {'公司名称': '北京恩鼎贸易有限公司', '职位': '日月光华版编辑', '工作时间': '07.2019-07.2021', '是否为实习经历': False}, {'公司名称': '中国移动充值话费返还活动', '职位': '兼职', '工作时间': '07.2018', '是否为实习经历': True}]","[{'名称': '英语四六级', '获得时间': None}]",,"['沟通交流', '语言表达', '文笔写作', '网络营销', '自学能力']","[{'名称': '学院羽毛球比赛双打第三名', '获得时间': None}, {'名称': '淘宝罕见四钻买家', '获得时间': None}]",,,,,4
吴惠雯,26,,设计师,13912345678,xianxian@taobao.com,"[{'学习时间': '2013 - 2016', '院校名称': '北京市国际艺术学校', '学位': '中专', '专业': '设计'}]","{'学位': '中专', '授予院校': '北京市国际艺术学校'}","[{'公司名称': '同琛顾问有限公司', '职位': '平面设计师', '工作时间': '2016.7 - 2023.1', '是否为实习经历': False}, {'公司名称': '航永顾问有限公司', '职位': '实习', '工作时间': '2015 - 2016', '是否为实习经历': True}]","[{'名称': 'Adobe中国认证设计师', '获得时间': None}, {'名称': 'Adobe认证产品专家', '获得时间': None}, {'名称': '平面设计师资格证书', '获得时间': None}, {'名称': '英语四六级证书', '获得时间': None}]",,"['思维灵活', '大方稳重', '责任心强', '有较强团队精神', 'MS Office', 'Photoshop', 'Illustrator', '英语', '日语', '粤语']",,,,上海,,7
詹允坚,34,,,13912345678,xianxian@taobao.com,"[{'学习时间': '2011 - 2014', '院校名称': '北京金隅科技学校', '学位': '中专', '专业': '设计'}]","{'学位': '中专', '授予院校': '北京金隅科技学校'}","[{'公司名称': '秋诚顾问有限公司', '职位': '会计主管', '工作时间': '2018.7 - -2023.4', '是否为实习经历': False}, {'公司名称': '勤裕顾问有限公司', '职位': '会计师', '工作时间': '2014.7 - 2018.7', '是否为实习经历': False}]","[{'名称': 'Adobe中国认证设计师', '获得时间': None}, {'名称': 'Adobe认证产品专家', '获得时间': None}, {'名称': '平面设计师资格证书', '获得时间': None}, {'名称': '平面设计师资格证书', '获得时间': None}, {'名称': '英语四六级证书', '获得时间': None}]",,,,,,上海,,9
赖淑珍,27,,,13912345678,xianxian@taobao.com,"[{'学习时间': '2012 - 2015', '院校名称': '长沙职业技术学院', '学位': '中专', '专业': '平面设计'}]","{'学位': '中专', '授予院校': '长沙职业技术学院'}","[{'公司名称': '小型民营企业', '职位': '兼职行政文员', '工作时间': '2018.2-2018.12', '是否为实习经历': False}]",,,,,,,上海,长沙,1
李凯婷,31,,平面设计师,13912345678,13912@163.com,"[{'学习时间': '2012 - 2015', '院校名称': '北京某大设计学院', '学位': '中专', '专业': '设计'}]","{'学位': '中专', '授予院校': '北京某大设计学院'}","[{'公司名称': '朗赛室内设计有限公司', '职位': '平面设计师', '工作时间': '2021.10 -2023.4', '是否为实习经历': False}, {'公司名称': '宏森室内设计有限公司', '职位': '平面设计师', '工作时间': '2019.10 – 2021.10', '是否为实习经历': False}, {'公司名称': '西伦全屋定制有限公司', '职位': '平面设计师', '工作时间': '2017.10 – 2019.10', '是否为实习经历': False}, {'公司名称': '建龙全屋定制有限公司', '职位': '平面设计师', '工作时间': '2016.10 – 2017.10', '是否为实习经历': False}]","[{'名称': 'Adobe中国认证设计师', '获得时间': '2012年9月'}, {'名称': 'Adobe认证产品专家', '获得时间': '2013年1月'}, {'名称': '平面设计师资格证书', '获得时间': '2013年8月'}, {'名称': '平面设计师资格证书', '获得时间': '2014年9月'}, {'名称': '英语四六级证书', '获得时间': '2014年5月'}]",,[],[],,,上海,上海，浦东,7
林承辰,25,,电气工程师,135XXXXXXX,123456@.com,"[{'学习时间': '2013.9-2016.06', '院校名称': '济南新技术应用学校', '学位': '中专', '专业': '电气工程及其自动化'}]","{'学位': '中专', '授予院校': '济南新技术应用学校'}","[{'公司名称': '国家电网泰安石横发电厂', '职位': '电气工程师', '工作时间': '2018.8-2022.9', '是否为实习经历': False}, {'公司名称': '济南市市中区', '职位': '电气工程师助理', '工作时间': '2016.8-2018.8', '是否为实习经历': False}]","[{'名称': '大学英语四/六级（CET-4/6）', '获得时间': None}, {'名称': '计算机二级（C语言）', '获得时间': None}]",,"['熟练运用AUTOCAD、MATLAB、UG、office等相关软件', '优秀的听说读写能力, 快速浏览英语专业文件及书籍', '熟悉计算机各种操作']","[{'名称': '优秀团员', '获得时间': '2013-2014'}, {'名称': '艺术活动优秀奖', '获得时间': '2013-2014'}, {'名称': '优秀学Th干部', '获得时间': '2014-2015'}, {'名称': '学Th会优秀干部荣誉称号', '获得时间': '2014-2015'}]",,,,上海,7
刘亭宝,30,,,13999999999,1234567@123.com,"[{'学习时间': '2014 - 2017', '院校名称': '济南传媒学校', '学位': '中专', '专业': '设计'}]","{'学位': '中专', '授予院校': '济南传媒学校'}","[{'公司名称': '顺仁设计服务有限公司', '职位': '设计', '工作时间': '2019.10 - -2023.4', '是否为实习经历': False}, {'公司名称': '乐伊设计服务有限公司', '职位': '设计', '工作时间': '2018.10 - 2019.10', '是否为实习经历': False}, {'公司名称': '汉艺设计服务有限公司', '职位': '设计', '工作时间': '2017.10 - 2018.10', '是否为实习经历': False}]","[{'名称': 'Adobe中国认证设计师', '获得时间': '2018.10'}, {'名称': 'Adobe认证产品专家', '获得时间': '2018.10'}, {'名称': '平面设计师资格证书', '获得时间': None}, {'名称': '国际商业美术设计师', '获得时间': None}, {'名称': '英语六级证书', '获得时间': '2018.10'}]",,"['Microsoft Word', 'Microsoft PowerPoint', 'Photoshop']",,,,山东,,6
宋慧元,29,,简历设计师,13912345678,Yourname@163.com,"[{'学习时间': '2010.9 – 2013.6', '院校名称': '章丘中等职业学校', '学位': '中专', '专业': '设计'}]","{'学位': '中专', '授予院校': '章丘中等职业学校'}","[{'公司名称': '西光设计服务有限公司', '职位': '平面设计师', '工作时间': '2019.7 – 2021.7', '是否为实习经历': False}, {'公司名称': '圣荣设计服务有限公司', '职位': '平面设计师', '工作时间': '2014.7 – 2019.7', '是否为实习经历': False}, {'公司名称': '恩鼎设计服务有限公司', '职位': '平面设计师', '工作时间': '2013.7 – 2014.7', '是否为实习经历': False}]","[{'名称': 'Ms Office办公软件', '获得时间': None}, {'名称': 'Adobe中国认证设计师', '获得时间': None}, {'名称': 'Photoshop软件', '获得时间': None}, {'名称': 'Adobe认证产品专家', '获得时间': None}, {'名称': '平面设计师资格证书', '获得时间': None}, {'名称': '英语四六级证书', '获得时间': None}, {'名称': '某某专业软件', '获得时间': None}]",,[],[],,,山东,,9
赖俊军,26,1998.05.08,市场销售相关工作岗位,15888888888,123456@qq.com,"[{'学习时间': '2016.9-2020.6', '院校名称': '上海交通大学', '学位': '本科', '专业': '市场管理'}]","{'学位': '本科', '授予院校': '上海交通大学'}","[{'公司名称': '京美科技技术有限公司', '职位': '销售', '工作时间': '2020.6-2021.6', '是否为实习经历': False}, {'公司名称': '明泽科技技术有限公司', '职位': '市场部经理', '工作时间': '2021.6--2023.4', '是否为实习经历': False}]","[{'名称': '英语CET6', '获得时间': None}, {'名称': '日语', '获得时间': None}, {'名称': '韩语', '获得时间': None}, {'名称': '熟悉Web、iOS和Androind开发', '获得时间': None}, {'名称': '精通数据库', '获得时间': None}, {'名称': 'C++及Java', '获得时间': None}, {'名称': '熟练使用Office办公软件、Axure RP、Visio', '获得时间': None}]",,,,180,,,上海宝山,3
荆彦璋,29,,财务相关,13800138080,224438898qq.com,"[{'学习时间': '2013.9-2017.7', '院校名称': '中国石油大学', '学位': '本科', '专业': '会计学'}]","{'学位': '本科', '授予院校': '中国石油大学'}","[{'公司名称': '山东飞扬科技有限公司', '职位': '会计', '工作时间': '2014.8-2015.4', '是否为实习经历': False}, {'公司名称': '广州电子科技有限公司', '职位': '会计（实习）', '工作时间': '2016.6-2017.3', '是否为实习经历': True}]","[{'名称': '会计上岗证', '获得时间': None}, {'名称': '证券从业资格证', '获得时间': None}, {'名称': '英语TEM-4', '获得时间': None}, {'名称': '计算机二级', '获得时间': None}]",,,"[{'名称': '2014年度三等奖学金', '获得时间': None}, {'名称': '2014年度校级优秀团员', '获得时间': None}, {'名称': '2015年度三等奖学金', '获得时间': None}, {'名称': '2015年度校级优秀团员', '获得时间': None}]",,,山东省日照市,,1
白怡均,34,1990年12月,,1380000020,4564646@qq.com,"[{'学习时间': '2008.09-2012.06', '院校名称': '中国海洋大学', '学位': '本科', '专业': '计算机'}]","{'学位': '本科', '授予院校': '中国海洋大学'}","[{'公司名称': '君兆设计管理有限公司', '职位': '互联网软件开发工程师', '工作时间': '2012.07--2023.4', '是否为实习经历': False}, {'公司名称': '洋环设计管理有限公司', '职位': '网络部实习', '工作时间': '2011.03-2012.06', '是否为实习经历': True}]",,,"['PHOTOSHOP', 'WORD', 'HTML/CSS']","[{'名称': '优秀班干', '获得时间': None}, {'名称': '第四届全国大学生广告艺术设计大赛山东赛区平面作品类三等奖', '获得时间': '2011年'}, {'名称': '微观海大，聚焦精彩”微博评选大赛中获“十大美友”奖', '获得时间': None}]",,,,山东省日照市,11
